Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
Düş peşine,İlkay Uygur,4.9,2022,Komedi,1514178,Türkiye,Kış,Yerli
Katil kim,Halina Reijn,4.8,2022,Korku,4512360,ABD,Sonbahar,Yabancı
Kafes,Cenk İzgören,4.5,2022,Dram,451778,Türkiye,Sonbahar,Yerli
Bebek servisi,Hirokazu Koreeda,7.8,2022,Dram,453939,Kore,Sonbahar,Yabancı
Kabus gecesi:diriliş,Timo Vuorensola,5.4,2022,Korku,4533759,ABD,Sonbahar,Yabancı
Mahalleden arkadaşlar,Selçuk Aydemir,6.2,2022,Komedi,1554731,Türkiye,Sonbahar,Yerli
Hep yek 5,Özgür Bakar,4.5,2022,Komedi,1113014,Türkiye,Kış,Yerli
Hazine,Canbert Yerguz,4.7,2022,Aksiyon,149826,Türkiye,Kış,Yerli
Aslan Hürkuş,H. Sinan Güngör,6.5,2022,Animasyon,1908441,Türkiye,Sonbahar,Yerli
Anka,Süleyman Mert Özdemir,,2021,Aksiyon,131350,Türkiye,Kış,Yerli
Black Adam,Jaume Collet-Serra,6.2,2022,Bilim-Kurgu,4527329,ABD,Sonbahar,Yabancı
Kaptan Pengu ve arkadaşları,Nurullah Yenihan/Pelin Tuğçe Şen,,2022,Animasyon,390773,Türkiye,İlkbahar,Yerli
İyi şanslar Leo Grande,Sophie Hyde,7.2,2022,Komedi,54988,Birleşik Krallık,Sonbahar,Yabancı
Hüzün Üçgeni ,Ruben Östlund,7.3,2022,Komedi,5410189,Almanya,Sonbahar,Yabancı
Şeytan Kapanı,Daniel Stamm,5.3,2022,Korku,4440541,ABD,Sonbahar,Yabancı
Emily,Frances O'Connor,6.8,2022,Biyografi,232612,ABD,Sonbahar,Yabancı
Koloni,Tim Fehlbaum,5.4,2022,Bilim-Kurgu,2563261,Almanya,Kış,Yabancı
Belle,Mamoru Hosoda,7.1,2022,Animasyon,5642177,Japonya,Kış,Yabancı
Kod 355,Simon Kinberg,5.6,2022,Aksiyon,3457490,ABD,Kış,Yabancı
Cin Perdesi,Tayfun Can Demirtaş,,2022,Korku,1584636,Türkiye,Kış,Yerli
Aya Sihirli Yolculuk,Ali Samadi Ahadi,4.9,2021,Animasyon,131556,Almanya,Sonbahar,Yabancı
Benden Ne Olur,Murat Şenöy,4.7,2022,Romantik,1360863,Türkiye,Kış,Yerli
İlgi Manyağı,Kristoffer Borgli,7.1,2022,Komedi,2330533,İsveç,Sonbahar,Yabancı
Kestik,Michel Hazanavicius,6.4,2022,Korku,1234760,Japonya,Sonbahar,Yabancı
A Hero,Asghar Farhadi,7.5,2022,Gerilim,1514157,İran,Kış,Yabancı
Karlar Kraliçesi,Andrey Korenkov/Aleksey Tsitsilin,4.3,2022,Animasyon,4251201,Rusya,Sonbahar,Yabancı
Tamirhane,Erkan Kolçak Köstendil,5.6,2022,Komedi,560413,Türkiye,Sonbahar,Yerli
Niloya,Arkın Aktaç,,2022,Animasyon,2446208,Türkiye,Sonbahar,Yerli
Black Panther:Yaşasın Wakanda,Ryan Coogler,6.7,2022,Macera,6488228,ABD,Sonbahar,Yabancı
Klondike,Maryna Er Gorbach,6.9,2022,Dram,1632260,Türkiye,Sonbahar,Yerli
Müstakbel Damat,İlker Ayrık,5.2,2022,Komedi,1309397,Türkiye,Sonbahar,Yerli
Lübey'in Laneti,Metin Yücel,,2022,Korku,566423,Türkiye,Kış,Yerli
Barış Akarsu,Mert Dikmen,5.8,2022,Biyografi,1367006,Türkiye,Sonbahar,Yerli
Müjdemi İsterim,Ömer Faruk Yardımcı,4.6,2022,Komedi,1439991,Türkiye,Sonbahar,Yerli
Menü,Mark Mylod,7.2,2022,Korku,54536,ABD,Sonbahar,Yabancı
Tim Tim Timsah,Josh Gordon/Will Speck,6.1,2022,Animasyon,449090,ABD,Sonbahar,Yabancı
Sabırsızlık Zamanı,Aydın Orak,5.5,2022,Komedi,1231807,Türkiye,Sonbahar,Yerli
Kemikler ve Her Şey,Luca Guadagnino,6.8,2022,Korku,1230132, İtalya,Sonbahar,Yabancı
Kendi Yolumda,Ömer Faruk Sorak,5.7,2022,Dram,1434597,Türkiye,Sonbahar,Yerli
Kutsal Örümcek,Ali Abbasi,7.3,2022,Gerilim,1357432, Fransa,Sonbahar,Yabancı
Mihrez2:Cin Padişahı,Ahmet Arslan,,2022,Korku,1414099,Türkiye,Sonbahar,Yerli
Güzel Bir Rüya,Alp Kamber,5.2,2024,Macera,8966846,Türkiye,Sonbahar,Yerli
Vahşi Gece,Tommy Wirkola,6.7,2022,Gerilim,2315494,ABD,Sonbahar,Yabancı
Decibel,In-ho Hwang,6.1,2022,Korku,2310412,Güney Kore,Sonbahar,Yabancı
Yunus Çocuk,Mohammed Kheirandish,5.2,2022,Animasyon,3175110,İran,Sonbahar,Yabancı
Çakallarla Dans,Murat Şeker,5.2,2022,Komedi,1871764,Türkiye,Sonbahar,Yerli
Buğday Tanesi,Doğan Ümit Karaca,,2022,Dram,1235828,Türkiye,Sonbahar,Yerli
Resmi Yarışma,Gastón Duprat/Mariano Cohn,7.0,2022,Dram,3253720,Arjantin,Sonbahar,Yabancı
Panda ve Sevimli Canavarlar,Sean Patrick O'Reilly,2.8,2022,Animasyon,3241088,Çin,Sonbahar,Yabancı
Kesişme: İyiki Varsın Eren,Özer Feyzioğlu,7.2,2022,Biyografi,2328284,Türkiye,Kış,Yerli
